CARMILLA-FROST,AA2-35
KILLRAVEN/JONATHAN-R,AA2-35
M'SHULLA,AA2-35
24-HOUR-MAN/EMMANUEL,AA2-35
OLD-SKULL,AA2-35
G'RATH,AA2-35
3-D-MAN/CHARLES-CHAN,M/PRM-35
3-D-MAN/CHARLES-CHAN,M/PRM-36
3-D-MAN/CHARLES-CHAN,M/PRM-37
HUMAN-ROBOT,WI?-9
MARVEL-BOY-III/ROBER,WI?-9
GORILLA-MAN,WI?-9
3-D-MAN/CHARLES-CHAN,WI?-9
VENUS-II,WI?-9
HUMAN-ROBOT,AVF-4
GORILLA-MAN,AVF-4
RICHARD-MILHO-JONES,AVF-4
3-D-MAN/CHARLES-CHAN,AVF-4
WASP/JANET-VAN-DYNE,AVF-4
LIBRA/GUSTAV-BRANDT,AVF-4
CAPTAIN-AMERICA,AVF-4
VENUS-II,AVF-4
HAWK,AVF-4
ANT-MAN/DR.-HENRY-J.,AVF-4
MARVEL-BOY-III/ROBER,AVF-4
MARVEL-BOY-III/ROBER,AVF-5
VENUS-II,AVF-5
RICHARD-MILHO-JONES,AVF-5
PHARAOH-RAMA-TUT,AVF-5
GORILLA-MAN,AVF-5
HUMAN-ROBOT,AVF-5
CAPTAIN-AMERICA,AVF-5
HAWK,AVF-5
3-D-MAN/CHARLES-CHAN,AVF-5
ANT-MAN/DR.-HENRY-J.,AVF-5
WASP/JANET-VAN-DYNE,AVF-5
3-D-MAN/CHARLES-CHAN,H2-251
BETTY-ROSS-T-BANNER,H2-251
FRED-SLOAN,H2-251
DOC-SAMSON/DR.-LEONA,H2-251
GEN.-THADDEUS--ROSS,H2-251
RICHARD-MILHO-JONES,H2-251
WOODGOD,H2-251
HULK/DR.-ROBERT-BRUC,H2-251
FRED-SLOAN,H2-252
3-D-MAN/CHARLES-CHAN,H2-252
GEN.-THADDEUS--ROSS,H2-252
HULK/DR.-ROBERT-BRUC,H2-252
WOODGOD,H2-252
BETTY-ROSS-T-BANNER,H2-252
RICHARD-MILHO-JONES,H2-252
DOC-SAMSON/DR.-LEONA,H2-252
DARKSTAR/LAYNIA-SERG,COC-1
LOBO,COC-1
INVISIBLE-WOMAN/SUE,COC-1
MIKHLO,COC-1
SHROUD/MAXIMILLIAN-Q,COC-1
SASQUATCH/WALTER-LAN,COC-1
SISTER-BARB-NORRISS,COC-1
URSA-MAJOR/MIKHAIL-U,COC-1
CYCLOPS/SCOTT-SUMMER,COC-1
LOCKJAW-[INHUMAN],COC-1
THING/BENJAMIN-J.-GR,COC-1
WHIZZER/ROBERT-L.-FR,COC-1
AURORA/JEANNE-MARIE,COC-1
BLACK-WIDOW/NATASHA,COC-1
MOCKINGBIRD/DR.-BARB,COC-1
SCARLET-WITCH/WANDA,COC-1
IKARIS/IKE-HARRIS-[E,COC-1
IGOR,COC-1
KARNAK-[INHUMAN],COC-1
ANGEL/WARREN-KENNETH,COC-1
DEFENSOR,COC-1
LUKE/CARL-LUCA-CAGE,COC-1
SABRA/RUTH-BAT-SERAP,COC-1
SHADOWCAT/KATHERINE,COC-1
ANT-MAN-II/SCOTT-HAR,COC-1
CRYSTAL-[INHUMAN],COC-1
DR.-STRANGE/STEPHEN,COC-1
PROFESSOR-X/CHARLES,COC-1
COLLECTIVE-MAN,COC-1
DR.-DRUID/ANTHONY-LU,COC-1
QUICKSILVER/PIETRO-M,COC-1
SHE-HULK/JENNIFER-WA,COC-1
TORPEDO-III/BROCK-JO,COC-1
BLACK-PANTHER/T'CHAL,COC-1
JACK-OF-HEARTS/JACK,COC-1
3-D-MAN/CHARLES-CHAN,COC-1
JERICHO-DRUMM,COC-1
HELLCAT/PATSY-WALKER,COC-1
HELLSTORM/DAIMON-HEL,COC-1
GYPSY-MOTH,COC-1
CAPTAIN-AMERICA,COC-1
HULK/DR.-ROBERT-BRUC,COC-1
IRON-MAN/TONY-STARK,COC-1
QUASAR-III/WENDELL-V,COC-1
SERSI/SYLVIA,COC-1
GRANDMASTER/EN-DWI-G,COC-1
CRIMSON-DYNAMO-V/DIM,COC-1
HAVOK/ALEX-SUMMERS,COC-1
SPIDER-WOMAN/JESSICA,COC-1
BLITZKRIEG,COC-1
NORTHSTAR/JEAN-PAUL,COC-1
STORM/ORORO-MUNROE-S,COC-1
JOCASTA,COC-1
REDWING,COC-1
SUB-MARINER/NAMOR-MA,COC-1
HERCULES-[GREEK-GOD],COC-1
DEVIL-SLAYER/ERIC-SI,COC-1
STINGRAY/DR.-WALTER,COC-1
NIGHTCRAWLER/KURT-WA,COC-1
SPIDER-MAN/PETER-PAR,COC-1
GUARDIAN/JAMES-MACDO,COC-1
TIGRA/GREER-NELSON,COC-1
RED-WOLF-III/WILL-TA,COC-1
WEREWOLF-BY-NIGHT/JA,COC-1
PEATOR,COC-1
VISION,COC-1
MOON-KNIGHT/MARC-SPE,COC-1
COLOSSUS-II/PETER-RA,COC-1
FALCON/SAM-WILSON,COC-1
TEXAS-TWISTER/DREW-D,COC-1
HAWK,COC-1
RED-GHOST/IVAN-KRAGO,COC-1
WONDER-MAN/SIMON-WIL,COC-1
BEAST/HENRY-&HANK&-P,COC-1
LE/FRANCK-PEREGRINE,COC-1
BLACK-KNIGHT-V/DANE,COC-1
MOONDRAGON/HEATHER-D,COC-1
DAREDEVIL/MATT-MURDO,COC-1
SNOWBIRD/NARYA/ANNE,COC-1
SUNFIRE/SHIRO-YOSHID,COC-1
SPACEKNIGHT-ROM,COC-1
SHANNA/SHANNA-O'HARA,COC-1
ICEMAN/ROBERT-BOBBY,COC-1
GORGON-[INHUMAN],COC-1
GARGOYLE-II/ISAAC-CH,COC-1
THOR/DR.-DONALD-BLAK,COC-1
NIGHTHAWK/KYLE-RICHM,COC-1
BLACK-BOLT/BLACKANTO,COC-1
VALINOR,COC-1
